	Questions	Queries	Pairs	Masked Questions
419	What is the average age for customers with a membership credit above the average?	SELECT avg(age) FROM customers WHERE membership_credit  >  (SELECT avg(membership_credit) FROM customers)	"/* Answer the following: What is the average age for customers with a membership credit above the average? */
SELECT avg(age) FROM customers WHERE membership_credit  >  (SELECT avg(membership_credit) FROM customers)
"	What is the average <mask> for <mask> with a membership credit above the average?
420	Return the average age for customers who have membership above the average across all customers.	SELECT avg(age) FROM customers WHERE membership_credit  >  (SELECT avg(membership_credit) FROM customers)	"/* Answer the following: Return the average age for customers who have membership above the average across all customers. */
SELECT avg(age) FROM customers WHERE membership_credit  >  (SELECT avg(membership_credit) FROM customers)
"	Return the average <mask> for <mask> who have membership above the average across all <mask>.
421	Show all information for all discounts.	SELECT * FROM discount	"/* Answer the following: Show all information for all discounts. */
SELECT * FROM discount
"	Show all information for all <mask>.
422	Return all information about discounts.	SELECT * FROM discount	"/* Answer the following: Return all information about discounts. */
SELECT * FROM discount
"	Return all information about <mask>.
425	Show the name of vehicles with no renting history.	SELECT name FROM vehicles WHERE id NOT IN (SELECT vehicles_id FROM renting_history)	"/* Answer the following: Show the name of vehicles with no renting history. */
SELECT name FROM vehicles WHERE id NOT IN (SELECT vehicles_id FROM renting_history)
"	Show the <mask> of <mask> with no renting history.
426	What are the names of vehicles that have never been rented?	SELECT name FROM vehicles WHERE id NOT IN (SELECT vehicles_id FROM renting_history)	"/* Answer the following: What are the names of vehicles that have never been rented? */
SELECT name FROM vehicles WHERE id NOT IN (SELECT vehicles_id FROM renting_history)
"	What are the <mask> of <mask> that have never been rented?
437	Find the average city and highway fuel rates for cars with different powertrain types.	SELECT avg(City_fuel_economy_rate) ,  avg(Highway_fuel_economy_rate) , Type_of_powertrain FROM vehicles GROUP BY Type_of_powertrain	"/* Answer the following: Find the average city and highway fuel rates for cars with different powertrain types. */
SELECT avg(City_fuel_economy_rate) ,  avg(Highway_fuel_economy_rate) , Type_of_powertrain FROM vehicles GROUP BY Type_of_powertrain
"	Find the average city and highway fuel rates for cars with different powertrain types.
438	What are the average city fuel economy rate, average highway fuel economy rate for different types of powertrains?	SELECT avg(City_fuel_economy_rate) ,  avg(Highway_fuel_economy_rate) , Type_of_powertrain FROM vehicles GROUP BY Type_of_powertrain	"/* Answer the following: What are the average city fuel economy rate, average highway fuel economy rate for different types of powertrains? */
SELECT avg(City_fuel_economy_rate) ,  avg(Highway_fuel_economy_rate) , Type_of_powertrain FROM vehicles GROUP BY Type_of_powertrain
"	What are the average city fuel economy rate, average highway fuel economy rate for different types of powertrains?
439	What is the average amount of a student loan?	SELECT avg(amount_of_loan) FROM Student_Loans	"/* Answer the following: What is the average amount of a student loan? */
SELECT avg(amount_of_loan) FROM Student_Loans
"	What is the average amount of a student loan?
440	Compute the average amount of student loans.	SELECT avg(amount_of_loan) FROM Student_Loans	"/* Answer the following: Compute the average amount of student loans. */
SELECT avg(amount_of_loan) FROM Student_Loans
"	Compute the average amount of student loans.
447	What are the loan amounts and loan dates of the students who have at least 2 achievements?	SELECT amount_of_loan ,  date_of_loan FROM Student_Loans WHERE student_id IN ( SELECT student_id FROM Achievements GROUP BY student_id HAVING count(*)  >=  2 )	"/* Answer the following: What are the loan amounts and loan dates of the students who have at least 2 achievements? */
SELECT amount_of_loan ,  date_of_loan FROM Student_Loans WHERE student_id IN ( SELECT student_id FROM Achievements GROUP BY student_id HAVING count(*)  >=  2 )
"	What are the loan amounts and loan dates of the students who have at least 2 <mask>?
448	List the amount and date of loan for the students who have two or more achievements.	SELECT amount_of_loan ,  date_of_loan FROM Student_Loans WHERE student_id IN ( SELECT student_id FROM Achievements GROUP BY student_id HAVING count(*)  >=  2 )	"/* Answer the following: List the amount and date of loan for the students who have two or more achievements. */
SELECT amount_of_loan ,  date_of_loan FROM Student_Loans WHERE student_id IN ( SELECT student_id FROM Achievements GROUP BY student_id HAVING count(*)  >=  2 )
"	List the amount and date of loan for the students who have two or more <mask>.
459	How many students got the most common result in the behavioral monitoring details? Also list the result details.	SELECT count(DISTINCT student_id) ,  behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: How many students got the most common result in the behavioral monitoring details? Also list the result details. */
SELECT count(DISTINCT student_id) ,  behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1
"	How many students got the most common result in the behavioral monitoring details? Also list the result details.
460	Find the most common result in the behavioral monitoring details. What are the count and the details of this result?	SELECT count(DISTINCT student_id) ,  behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Find the most common result in the behavioral monitoring details. What are the count and the details of this result? */
SELECT count(DISTINCT student_id) ,  behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1
"	Find the most common result in the behavioral monitoring details. What are the <mask> and the details of this result?
473	List the date of the transcripts and the transcript details.	SELECT date_of_transcript ,  transcript_details FROM Transcripts	"/* Answer the following: List the date of the transcripts and the transcript details. */
SELECT date_of_transcript ,  transcript_details FROM Transcripts
"	List the date of the <mask> and the transcript details.
474	What are the date and detail of each transcript?	SELECT date_of_transcript ,  transcript_details FROM Transcripts	"/* Answer the following: What are the date and detail of each transcript? */
SELECT date_of_transcript ,  transcript_details FROM Transcripts
"	What are the date and detail of each transcript?
475	List the achievement type code, achievement details and the date of the achievements.	SELECT achievement_type_code ,  achievement_details ,  date_achievement FROM Achievements	"/* Answer the following: List the achievement type code, achievement details and the date of the achievements. */
SELECT achievement_type_code ,  achievement_details ,  date_achievement FROM Achievements
"	List the achievement type code, achievement details and the date of the <mask>.
476	What are the type code, details, and date of each achievement?	SELECT achievement_type_code ,  achievement_details ,  date_achievement FROM Achievements	"/* Answer the following: What are the type code, details, and date of each achievement? */
SELECT achievement_type_code ,  achievement_details ,  date_achievement FROM Achievements
"	What are the type code, details, and date of each achievement?
477	Show the detention start time and end time of the detentions.	SELECT datetime_detention_start ,  datetime_detention_end FROM Detention	"/* Answer the following: Show the detention start time and end time of the detentions. */
SELECT datetime_detention_start ,  datetime_detention_end FROM Detention
"	Show the <mask> start time and end time of the <mask>.
